Player_id,Team,Player_name,Role,Nationality,Auction_price,Batting_type,Bowling type,Level
CSKB1,CSK,Ruturaj Gaikwad,Batter,India,1800,Right-hand,Right Off-Spin,capped
CSKB2,CSK,Andre Siddarth,Batter,India,30,Right-hand,Right Off-Spin,Uncapped
CSKB3,CSK,Shaik Rasheed,Batter,India,30,Right-hand,Right Leg-Spin,Uncapped
CSKB4,CSK,Rahul Tripathi,Batter,India,340,Right-hand,Right Medium,capped
CSKB5,CSK,Ayush Mhatre,Batter,India,30,Right-hand,Right Off-Spin,Uncapped
CSKB6,CSK,Dewald Brevis,Batter,South Africa,220,Right-hand,Right Leg-Spin,capped
CSKA1,CSK,Shivam Dube,All Rounder,India,1200,Left-hand,Right Medium-Fast,capped
CSKA2,CSK,Rachin Ravindra,All Rounder,New Zealand,400,Left-hand,Left Off-Spin,capped
CSKA3,CSK,Deepak Hooda,All Rounder,India,170,Right-hand,Right Off-Spin,capped
CSKA4,CSK,Vijay Shankar,All Rounder,India,120,Right-hand,Right Medium,capped
CSKA5,CSK,Ramakrishna Ghosh,All Rounder,India,30,Right-hand,Right Medium-Fast,Uncapped
CSKA6,CSK,Ravindra Jadeja,All Rounder,India,1800,Left-hand,Left Off-Spin,Elite
CSKA7,CSK,Anshul Kamboj,All Rounder,India,340,Right-hand,Right Medium-Fast,capped
CSKA8,CSK,Sam Curran,All Rounder,England,240,Left-hand,Left Fast-Medium,capped
CSKA9,CSK,Ravichandran Ashwin,All Rounder,India,975,Right-hand,Right Off-Spin,Elite
CSKW1,CSK,Devon Conway,Wicket Keeper,New Zealand,625,Left-hand,Right Medium,capped
CSKW2,CSK,MS Dhoni,Wicket Keeper,India,400,Right-hand,Right Medium,Elite
CSKW3,CSK,Vansh Bedi,Wicket Keeper,India,55,Right-hand,,Uncapped
CSKW4,CSK,Urvil Patel,Wicket Keeper,India,30,Right-hand,,Uncapped
CSKO1,CSK,Jamie Overton,Bowler,England,150,Right-hand,Right Fast-Medium,capped
CSKO2,CSK,Kamlesh Nagarkoti,Bowler,India,30,Right-hand,Right Fast,Uncapped
CSKO3,CSK,Shreyas Gopal,Bowler,India,30,Right-hand,Right Leg-Spin,Uncapped
CSKO4,CSK,Matheesha Pathirana,Bowler,Sri Lanka,1300,Right-hand,Right Fast,capped
CSKO5,CSK,Mukesh Choudhary,Bowler,India,30,Left-hand,Left Medium-Fast,Uncapped
CSKO6,CSK,Nathan Ellis,Bowler,Australia,200,Right-hand,Right Medium-Fast,capped
CSKO7,CSK,Noor Ahmad,Bowler,Afghanistan,1000,Left-hand,Left Leg-Spin,capped
CSKO8,CSK,Khaleel Ahmed,Bowler,India,480,Left-hand,Left Fast-Medium,capped
RRB1,RR,Vaibhav Suryavanshi,Batter,India,110,Left-hand,,Uncapped
RRB2,RR,Shimron Hetmyer,Batter,West Indies,1100,Left-hand,,capped
RRB3,RR,Yashasvi Jaiswal,Batter,India,1800,Left-hand,Right Leg-Spin,capped
RRB4,RR,Shubham Dubey,Batter,India,80,Left-hand,Right Off-Spin,Uncapped
RRB5,RR,Nitish Rana,Batter,India,420,Left-hand,Right Off-Spin,capped
RRA1,RR,Riyan Parag,All Rounder,India,1400,Right-hand,Right Off-Spin,capped
RRA2,RR,Wanindu Hasaranga,All Rounder,Sri Lanka,525,Right-hand,Right Leg-Spin,capped
RRW1,RR,Sanju Samson,Wicket Keeper,India,1800,Right-hand,Right Off-Spin,capped
RRW2,RR,Dhruv Jurel,Wicket Keeper,India,1400,Right-hand,,capped
RRW3,RR,Kunal Rathore,Wicket Keeper,India,30,Right-hand,,Uncapped
RRW4,RR,Lhuan-dre Pretorius,Wicket Keeper,South Africa,120,Right-hand,Left Off-Spin,Uncapped
RRO1,RR,Yudhvir Singh Charak,Bowler,India,35,Right-hand,Right Medium-Fast,Uncapped
